normal,shear
9556.32371414233,10102.573148763422
9580.087135475489,10119.289598625883
9603.841790884097,10135.985606909515
9627.587704989022,10152.66124925331
9651.324902284543,10169.316600822649
9675.053407139352,10185.951736313538
9698.773243797477,10202.566729956749
9722.484436379247,10219.16165552195
9746.187008882236,10235.736586321766
9769.880985182175,10252.291595215811
9793.566389033878,10268.82675461464
9817.243244072159,10285.342136483705
9840.911573812718,10301.83781234721
9864.571401653046,10318.31385329198
9888.22275087329,10334.770329971228
9911.865644637137,10351.207312608323
9935.500105992684,10367.624871000497
9959.126157873281,10384.023074522513
9982.74382309838,10400.401992130286
10006.353124374376,10416.761692364475
10029.954084295443,10433.102243354027
10053.546725344344,10449.423712819684
10077.131069893254,10465.726168077445
10100.707140204555,10482.009676041995
10124.274958431652,10498.27430323011
10147.834546619742,10514.52011576398
10171.385926706616,10530.747179374568
10194.929120523415,10546.955559404849
10218.464149795405,10563.145320813072
10241.99103614275,10579.31652817597
10265.50980108124,10595.469245691937
10289.02046602305,10611.603537184157
10312.52305227748,10627.719466103716
10336.017581051681,10643.817095532671
10359.50407345138,10659.896488187102
10382.982550481596,10675.957706420086
10406.453033047348,10692.000812224713
10429.915541954373,10708.025867236996
10453.3700979098,10724.0329327388
10476.816721522859,10740.022069660718
10500.25543330555,10755.993338584909
10523.686253673346,10771.94679974795
10547.10920294583,10787.882513043578
10570.52430134738,10803.800538025496
10593.931569007827,10819.700933910084
10617.33102596311,10835.583759579105
10640.72269215591,10851.449073582371
10664.106587436296,10867.29693414041
10687.482731562375,10883.127399147077
10710.851144200897,10898.940526172137
10734.211844927891,10914.736372463849
10757.564853229285,10930.51499495149
10780.910188501512,10946.276450247888
10804.247870052117,10962.020794651882
10827.577917100361,10977.748084150813
